Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA,Expiration,Certification Body,Certification Address,Certification Contact
Ethiopia,Sakicha kebele,Natural Guji Gr.1 Sakicha 2025-P0535,Bulehora District West Guji Oromia,01001400207,Daarnhouwer,2000,"Sakicha kebele, Bulehora District, West Guji Zone, Oromia",Aklilu Kassa Chrissa,100,60 kg,METAD Agricultural Development plc,2024 / 2025,"September 10th, 2025",Hans Zevenhek,Ethiopian Heirlooms,Completed,Natural / Dry,8.0,8.17,8.17,8.25,8.25,8.08,10.0,10.0,10.0,8.08,0.0,87.0,10.1 %,0 full defects,2,Yellow Green,5 full defects,,"September 10th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
Vietnam,Công ty TNHH CARABU COFFEE,A032,Công ty TNHH CARABU COFFEE,,"carabu coffee, co, ltd",500,Buôn Ma Thuột,Hoàng Mạnh Tường,2000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",carabu,AH1,Completed,Natural / Dry,8.5,8.25,8.08,8.08,8.08,7.83,10.0,10.0,10.0,8.17,0.0,87.0,11 %,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Taiwan,名陽園,C17,名陽園,,Taiwan Coffee Laboratory,1500,嘉義/竹崎鄉,王政淵,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.17,8.25,8.25,8.0,8.08,8.08,10.0,10.0,10.0,8.08,0.0,86.92,10.2 %,0 full defects,0,Bluish-Green,0 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Vietnam,Công ty TNHH MTV Rẫy Rừng,A203,Công ty TNHH MTV Rẫy Rừng,,Ray Rung Limited Company,1400,"Thôn Đắk Bờ Rồ, Xã Đắk Tăng, Huyện Kon Plông, Tỉnh Kon Tum",Bùi Lê Băng,1500,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Thang Ho Hoang Minh,"Catimor, TH1, THA1",Completed,Natural / Dry,8.33,8.17,8.0,8.17,8.08,8.08,10.0,10.0,10.0,8.08,0.0,86.92,11 %,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Ethiopia,Abera Farm,2,Abera washing staion,010/0398,Abebe mulgeta Genet Trading,1800-2200,SNNP Gedeo Zone,Abera Hailemariyam,1600,96000 kg,METAD Agricultural Development plc,2024 / 2025,"April 8th, 2025",Abebe Mulgeta,Ethiopian Yirgacheffe,Completed,Washed / Wet,7.92,8.08,8.0,8.42,8.08,8.08,10.0,10.0,10.0,8.17,0.0,86.75,9.8 %,0 full defects,0,Blue-Green,1 full defects,,"April 8th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
Vietnam,8Ro Company,A430,8Ro Company,,8RoCompany,1400,"Quảng Tín, Đăk Rlấp, Đắk Nông",Đinh Tiên Bảo San,5000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Đinh Tiên Bảo San,Catimor,Completed,Natural / Dry,8.33,8.17,8.17,8.0,8.17,8.0,10.0,10.0,10.0,7.92,0.0,86.75,11 %,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Vietnam,Công ty Cổ phần Hạt Rừng,A654,Công ty Cổ phần Hạt Rừng,,THE FOREST BEANS JOINT STOCK COMPANY,1580,"Thôn Trường Sơn, Xã Xuân Trường, Đà Lạt, Lâm Đồng",Nguyễn Hữu Yên,3000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Hạt Rừng,Catimor,Completed,Washed / Wet,8.25,8.17,7.92,8.17,8.08,8.0,10.0,10.0,10.0,8.17,0.0,86.75,11 %,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Taiwan,大鋤花間咖啡生態農場 （Dachu Coffee Estate),2025臺南市國產精品咖啡評鑑批次,大鋤花間咖啡生態農場(Dachu Coffee Estate),,Taiwan Coffee Laboratory,700-750,"臺南市東山區 Dongshan Dist., Tainan City","郭雅聰(KUO,YA-TSUNG）",1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"July 15th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.0,8.17,8.08,8.08,7.83,8.08,10.0,10.0,10.0,8.33,0.0,86.58,9.2 %,0 full defects,0,GREENISH,1 full defects,,"July 15th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Thailand,PHU CHEE DEUN COFFEE FARMER,1,Mogojubean,,PHU CHEE DEUN COFFEE FARMER,1450,North,PHU CHEE DEUN COFFEE FARMER,1,8 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"August 26th, 2025",Phongsathorn Khunta,Mix,Completed,Washed / Wet,8.33,8.17,7.92,7.92,7.92,8.17,10.0,10.0,10.0,8.17,0.0,86.58,11.7 %,0 full defects,0,Yello-Green,0 full defects,,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Ethiopia,Moredocofe S.C,005,Moredocofe Huling facility,010/0184/0016,Moredocofe S.C,1900,Oromia,Moredocofe S.c,100,6000 kg,METAD Agricultural Development plc,2024 / 2025,"May 8th, 2025",Moredocofe S.C,Ethiopian Heirlooms,Completed,Natural / Dry,7.92,8.17,8.08,8.25,7.92,8.08,10.0,10.0,10.0,8.08,0.0,86.5,9.2 %,0 full defects,5,Yellow Green,4 full defects,,"May 8th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
Ethiopia,Hama Kebele small holder farmer,233,Dancho Mukere PLC Hama Washing station,010/0030/0233,Mullege PLC,1950-2100,Ethiopia,Fermentation process,320,60 kg,METAD Agricultural Development plc,2024 / 2025,"May 6th, 2025",Mullege PLC,Ethiopian Yirgacheffe,Completed,Washed / Wet,8.0,7.92,8.08,8.17,8.17,8.08,10.0,10.0,10.0,8.08,0.0,86.5,9.4 %,0 full defects,0,Greenish,3 full defects,,"May 6th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
Taiwan,COFEE BERRIES MANOR,C201,"Chiayi Agricultural Experiment Branch, TARI",,Taiwan Coffee Laboratory,1100,"Gukeng Township, Yunlin County","WANG, YING-HUI",1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Washed / Wet,8.0,8.08,8.0,8.08,8.0,8.08,10.0,10.0,10.0,8.17,0.0,86.42,8.5 %,0 full defects,0,greenish,4 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Thailand,Doi Tung Development Project,DT2024/2025 Gayo Fermented Natural Lot ICP,Doi Tung Development Project,,Mae Fah Luang Foundation,1200,"Chiang Rai, Thailand",Doi Tung Development Project,1,30 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"August 26th, 2025",Tanawit Thirintong,Gayo,Completed,Fermented Natural,8.0,8.17,7.92,8.17,8.17,8.0,10.0,10.0,10.0,8.0,0.0,86.42,12.5 %,0 full defects,0,Bluish-Green,0 full defects,,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Ethiopia,Eyasu Abraham,Yirgacheffe Gedeb Banko Gotiti,Small holder farmers around the site,010/1269/0066,Taiwan Coffee Laboratory,2100-2200,Yirgacheffe Gedeb Banko Gotiti,Small holder farmers around the site,320,60 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Heirloom,Completed,Washed / Wet,8.17,8.17,8.0,7.92,7.92,8.08,10.0,10.0,10.0,8.17,0.0,86.42,9 %,0 full defects,0,Green,1 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Colombia,N / A,3-0068-00878,Trilladora Popayán,3-0068-00878,ECOM COLOMBIA,1700,Cauca,Regional producers,200,70 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024 / 2025,"April 30th, 2025",Raúl Vargas,Caturra,Completed,Washed / Wet,8.0,7.83,8.0,8.0,8.08,8.33,10.0,10.0,10.0,8.08,0.0,86.33,10.5 %,4 full defects,1,Green,6 full defects,,"April 30th, 2026",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
Vietnam,Kra Jan Ha Djim,A444,Kra Jan Ha Djim,,,1500,"Lạc Dương, Lâm Đồng",Kra Jan Ha Djim,100,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Kra Jan Ha Djim,Yellow Bourbon,Completed,Pulped natural / honey,8.08,8.25,8.0,8.08,8.08,8.08,10.0,10.0,10.0,7.75,0.0,86.33,11 %,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Vietnam,Công ty TNHH MTV Rẫy Rừng,A333,Công ty TNHH MTV Rẫy Rừng,,Ray Rung Limited Company,1600,"Thôn Đắk Bờ Rồ, Xã Đắk Tăng, Huyện Kon Plông, Tỉnh Kon Tum",Bùi Lê Băng,300,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Thang Ho Hoang Minh,Typica,Completed,Pulped natural / honey,8.17,7.92,8.08,8.17,8.08,7.83,10.0,10.0,10.0,8.08,0.0,86.33,11 %,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Taiwan,何留咖啡Hiu Coffee Manor,2025花蓮縣第九屆精品咖啡評鑑批次,何留咖啡Hiu Coffee Manor,,Taiwan Coffee Laboratory,650,"Wanrong Township, Hualien County","林金光LIN,JIN-GUANG",1,6 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2025,"September 12th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Anaerobic Washed Process,8.0,8.25,7.92,8.08,8.0,8.0,10.0,10.0,10.0,8.08,0.0,86.33,11.2 %,0 full defects,0,GREENISH,0 full defects,,"September 12th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Thailand,LISUMI Coffee Farm,LSMDB-2501,LISUMI Plantation,,Lisumi Coffee Farm,1300,Chiangrai,Mt Lisumi Coffee Farm,1,8 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"August 26th, 2025",Theerachart Satittampana,Progeny88 (Hybrid of Caturra X HDT-CIFC1343),Completed,Natural / Dry,8.0,8.17,7.92,8.17,8.17,8.0,10.0,10.0,10.0,7.83,0.0,86.25,11.7 %,0 full defects,0,Bluish-Green,0 full defects,,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Vietnam,ThyThy Farm,A555,ThyThy Farm,,cong ty tnhh ca phe sach intenso,1550,"Trạm Hành, Cầu Đất, Lâm Đồng",Lê Huyền Ngọc Thy,200,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Ta tuan anh,Catimor,Completed,Natural / Dry,8.0,8.17,8.0,8.08,7.83,8.08,10.0,10.0,10.0,8.08,0.0,86.25,11 %,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Vietnam,Công ty TNHH Minudo Farm - Care,A405,Công ty TNHH Minudo Farm - Care,,,1200,Đắk Lắk,Lê Đình Tư,2500,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Aeroco coffee,THA1,Completed,Natural / Dry,8.17,8.08,7.92,8.0,8.0,7.92,10.0,10.0,10.0,8.08,0.0,86.17,11 %,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Indonesia,Muhammad Irwan,503,Yes,,Muhammad Irwan,1400,"Pengalengan, Jawa Barat",Muhammad Irwan,1,60 kg,EKATA COFFEE CENTER,2024 / 2025,"October 13th, 2025",shameel,Other,Completed,,8.25,8.0,8.08,8.0,7.83,8.0,10.0,10.0,10.0,7.92,0.0,86.08,11.7 %,0 full defects,0,Pale Yellow,0 full defects,,"October 13th, 2026",EKATA COFFEE CENTER,"321/1, SIRAGUNDA VILLAGE, KASABA HOBLI, MUGTHIHALLI, CHIKKAMAGALURU, KARNATAKA, 577101",Shameel CP // Vivek Kolathai - +919995959888. - +919746845248
Taiwan,泥妲咖啡Nita Coffee Manor,2025花蓮縣第九屆精品咖啡評鑑批次,泥妲咖啡Nita Coffee Manor,,Taiwan Coffee Laboratory,300,"Xiulin Township, Hualien County","戴豐秋DAI,FONG-CIOU",1,6 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2025,"September 12th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Pulped natural / honey,7.83,8.08,8.0,8.17,7.92,8.0,10.0,10.0,10.0,8.08,0.0,86.08,10.5 %,0 full defects,0,Green,3 full defects,,"September 12th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Guatemala,La Bolsa,2025 Guatemala COE Exotic Natural & Honey R10,La Bolsa,,Taiwan Coffee Laboratory,1550,"La Libertad, Huehuetenango, Guatemala",Maria Elena Vides,9,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Pacamara,Completed,Natural / Dry,8.0,8.0,7.92,7.92,8.0,8.08,10.0,10.0,10.0,8.17,0.0,86.08,10.9 %,0 full defects,0,Green,0 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,野牡丹咖啡莊園 Melastoma Coffee Estate,C112,野牡丹咖啡莊園 Melastoma Coffee Estate,,Taiwan Coffee Laboratory,1250,"嘉義阿里山, Alishan, Chiayi","黃保錫 Huang, Bao-Si",1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 18th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Pulped natural / honey,8.17,8.08,8.0,8.0,7.92,7.92,10.0,10.0,10.0,8.0,0.0,86.08,10.1 %,0 full defects,0,Green,0 full defects,,"September 18th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Thailand,Phupha Estate,W08++,Mogojubean,,Phupha Estate,1430,Chiangmai,Kantima Tadplevthong,1,30 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"August 26th, 2025",Kantima Tadplevthong,Mix typica bourbon catuai Caturra,Completed,Washed / Wet,8.17,8.0,7.83,8.0,8.0,7.92,10.0,10.0,10.0,8.08,0.0,86.0,12.1 %,0 full defects,0,Green,0 full defects,,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Taiwan,璟隆咖啡,C14,璟隆咖啡,,Taiwan Coffee Laboratory,1300,嘉義/番路鄉,蘇彥彰,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.0,8.0,7.92,8.0,7.92,8.0,10.0,10.0,10.0,8.0,0.0,85.83,10.5 %,0 full defects,0,yellow green,0 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Japan,cactus coffee farm & lab,1,cactus coffee farm & lab,,cactus coffee farm & lab,89,"Okinawa, Japan",Yayoi Nakasone,10,1 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2025,"September 26th, 2025",Yayoi Nakasone,Mundo Novo,Completed,Natural / Dry,7.83,8.0,8.08,7.92,7.83,8.0,10.0,10.0,10.0,8.17,0.0,85.83,10.2 %,0 full defects,0,Green,0 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Thailand,Sri coffee,2025G,Sri coffee,,Sri coffee,1200,Nan,Charoen Aunthin,1,8 kg,SOCOF Lab,2024 / 2025,"October 2nd, 2025",Charoen Aunthin,Caturra,Completed,Natural / Dry,8.0,7.92,7.92,8.0,7.83,8.0,10.0,10.0,10.0,8.08,0.0,85.75,10.6 %,0 full defects,0,Yellow Green,2 full defects,,"October 2nd, 2026",SOCOF Lab,"(Ministry of Roasters)199 Chang Moi , Mueng Chiang Mai, 53000 Thailand",Anuwat Kobnampetch - whatsapp +66 925524446
Vietnam,1500m Coffee,A222,1500m Coffee,,Rosa Garden Viet Nam,1500,"Xã Xuân Trường và Xã Xuân Thọ, Thành phố Đà Lạt, tỉnh Lâm Đồng",Nguyễn Thanh Sang,12000,1 kg,HQJ Coffee School,2024 / 2025,"July 10th, 2025",Nguyễn Hương Thi,Catimor,Completed,Washed / Wet,8.0,8.0,7.92,8.0,7.92,7.92,10.0,10.0,10.0,8.0,0.0,85.75,11 %,0 full defects,0,Green,0 full defects,,"July 10th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Kenya,KAMWANGI,KAMWANGI,KIRINYAGA UNION MILL,,Rockbern Coffee Group Ltd,1560,KIRINYAGA,NEW NGARIAMA COOP,64,60 kg,Kenya Coffee Traders Association,2020 / 2021,"April 1st, 2025",Rockbern Coffee Group Ltd,SL28,Completed,Washed / Wet,8.0,8.0,7.92,7.92,8.0,7.92,10.0,10.0,10.0,8.0,0.0,85.75,11.8 %,0 full defects,0,Green,2 full defects,,"April 1st, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
